"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
560006,"MIDDLEBACK RANGE","5600",136.977563,-33.32706529,137.54713499,-32.97860648
560007,"MYOLA STATION","5600",137.13898464,-33.06351772,137.29666002,-32.94045569
560009,"KATUNGA STATION","5600",137.0259851,-32.8410453,137.18714857,-32.73718956
560010,"CORUNNA STATION","5600",136.8345129,-32.80606846,137.26438011,-32.57804278
560011,"COOYERDOO","5600",136.8108133,-33.18576555,137.14823959,-32.8143281
560012,"LAKE HARRIS","5600",135.0648841,-31.31098922,135.3689528,-30.99830389
560101,"FALSE BAY","5601",137.60127491,-32.97550383,137.71339718,-32.9139059
560102,"PORT BONYTHON","5601",137.70861024,-32.99656548,137.78136918,-32.93661997
560103,"POINT LOWLY NORTH","5601",137.77911956,-32.98718954,137.78204578,-32.98196165
560104,"POINT LOWLY","5601",137.7765104,-33.00130213,137.7877573,-32.9871435
560105,"IRON KNOB","5601",137.13107178,-32.75939756,137.17056728,-32.7242409
560106,"BACKY POINT","5601",137.78047655,-32.9161619,137.79351088,-32.90677764
560108,"DOUGLAS POINT","5601",137.79625802,-32.86121661,137.81146051,-32.83908361
560109,"DOUGLAS POINT SOUTH","5601",137.7881492,-32.90737524,137.80165077,-32.86113213
560110,"MULLAQUANA","5601",137.49799901,-33.07618734,137.56306639,-33.03999158
560111,"FITZGERALD BAY","5601",137.74444342,-32.93730506,137.7807731,-32.90171138
560112,"COWLEDS LANDING","5601",137.4288504,-33.1800316,137.47295553,-33.12184203
560113,"WHYALLA BARSON","5601",137.47081104,-33.04402679,137.63956641,-32.91000378
560114,"MURNINNIE BEACH","5601",137.36929031,-33.32557643,137.38225918,-33.3097246
560115,"IRON BARON","5601",137.14642048,-33.03204042,137.17266681,-32.98062
560201,"MANGALO","5602",136.4968372,-33.6157927,136.6711785,-33.3276537
560202,"MILTALIE","5602",136.6705194,-33.61585946,136.8458162,-33.3272677
560203,"MINBRIE","5602",136.8437143,-33.61585444,137.0176812,-33.32679
560204,"MIDGEE","5602",137.0169753,-33.5376018,137.39559892,-33.32555152
560205,"MITCHELLVILLE","5602",137.0172815,-33.70179549,137.29225683,-33.4700113
560206,"COWELL","5602",136.6705194,-33.87785993,137.01812862,-33.6156603
560207,"PORT GIBBON","5602",136.76345249,-33.83137869,136.82030782,-33.7822067
560208,"LUCKY BAY","5602",137.0179465,-33.72082176,137.06550418,-33.6811006
560301,"HINCKS","5603",135.7771672,-33.9868764,136.14930171,-33.7265134
560302,"WHARMINDA","5603",136.1486964,-33.9871421,136.3073546,-33.8923207
560303,"VERRAN","5603",136.14886578,-33.9869357,136.4963061,-33.7699396
560304,"ARNO BAY","5603",136.49549141,-33.99401671,136.67093646,-33.79475189
560401,"PORT NEILL","5604",136.2405175,-34.17946275,136.4955201,-33.98601873
560501,"BUTLER","5605",136.08678881,-34.1777733,136.2407018,-33.9868639
560502,"TUMBY BAY","5605",135.933037,-34.54456345,136.20956688,-34.2865927
560601,"PORT LINCOLN","5606",135.8106056,-34.7700617,135.8943714,-34.68741426
560602,"WEDGE ISLAND","5606",136.43882364,-35.17639392,136.4950238,-35.13177519
560701,"TIATUKIA","5607",135.8051189,-34.6718388,135.85741499,-34.642324
560702,"MOODY","5607",135.9305615,-34.1121757,136.0880789,-33.9867051
560703,"UNGARRA","5607",135.9092799,-34.3055882,136.1351383,-34.0877902
560704,"LIPSON","5607",136.0486608,-34.317827,136.32563455,-34.175971
560705,"YALLUNDA FLAT","5607",135.7774805,-34.4016935,136.0063755,-34.2686059
560706,"KOPPIO","5607",135.7773706,-34.47739544,135.95285428,-34.3595988
560707,"VENUS BAY","5607",134.657305,-33.27789431,134.82083037,-33.1404103
560708,"SHERINGA","5607",135.03942055,-33.940571,135.3994554,-33.7553344
560709,"MURDINGA","5607",135.5406853,-33.7966104,135.9077141,-33.6615468
560710,"TOOLIGIE","5607",135.3863607,-33.9404232,135.9075649,-33.7544849
560711,"SLEAFORD","5607",135.53995592,-34.94793395,135.7964301,-34.80520193
560712,"LINCOLN NATIONAL PARK","5607",135.79602234,-35.006924,136.0164977,-34.7238998
560713,"COFFIN BAY","5607",135.1085111,-34.7321088,135.5504872,-34.4284525
560714,"ULEY","5607",135.45693744,-34.81493177,135.7100768,-34.6278722
560715,"TULKA","5607",135.7070026,-34.81150723,135.82884039,-34.74736319
